,Unnamed: 0,$,AGR_OP,AGR_CP,COND_IF,COND_ELSE,AGR_OB,AGR_CB,INTERRUPTOR,CASO,ROMPER,PREDETERMINADO,CADA,ID,EOL,MNTRS,HAZ_MNTRS,EN,RANGO,OP_ASIG,CADENA,ENTERO,FLOTANTE,SIONO,VAL_CAD,VAL_SIONO,VAL_ENT,VAL_FLOT,ARI_PLUS,ARI_SUBS,ARI_MULT,ARI_DIV,OP_IGIG,OP_MAY,OP_MEN,OP_MAI,OP_MEI,OP_DIF,AND,OR,SLP,IMPR,LONGITUD
17,LOOP_FOR_ABS,-,-,-,-,-,-,-,-,-,-,-,LOOP_FOR_ABS ::= CADA AGR_OP FORS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,FORS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FORS ::= LOOP_PY ID,-,-,FORS ::= LOOP_FOR,FORS ::= LOOP_FOR,FORS ::= LOOP_FOR,FORS ::= LOOP_FOR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,LOOP_FOR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LOOP_FOR ::= ASIGN EOL EXPR EOL EXPR AGR_CP CONTENT,LOOP_FOR ::= ASIGN EOL EXPR EOL EXPR AGR_CP CONTENT,LOOP_FOR ::= ASIGN EOL EXPR EOL EXPR AGR_CP CONTENT,LOOP_FOR ::= ASIGN EOL EXPR EOL EXPR AGR_CP CONTENT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,LOOP_WHILE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LOOP_WHILE ::= MNTRS AGR_OP EXPR CONTENT EOL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,LOOP_DO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LOOP_DO ::= HAZ_MNTRS CONTENT EXPR EOL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,LOOP_PY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LOOP_PY ::= EN RANGO AGR_OP EXPR AGR_CP AGR_CP CONTENT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,ASIGN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASIGN ::= TIPO ID OP_ASIG EXPR EOL,ASIGN ::= TIPO ID OP_ASIG EXPR EOL,ASIGN ::= TIPO ID OP_ASIG EXPR EOL,ASIGN ::= TIPO ID OP_ASIG EXPR EOL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,TIPO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TIPO ::= CADENA,TIPO ::= ENTERO,TIPO ::= FLOTANTE,TIPO ::= SIONO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,VALOR,-,-,-,-,-,-,-,-,-,-,-,-,VALOR ::= ID,-,-,-,-,-,-,-,-,-,-,VALOR ::= VAL_CAD,VALOR ::= VAL_SIONO,VALOR ::= VAL_ENT,VALOR ::= VAL_FLOT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,ARI_PS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ARI_PS ::= ARI_PLUS,ARI_PS ::= ARI_SUBS,-,-,-,-,-,-,-,-,-,-,-,-,-
27,ARI_MD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ARI_MD ::= ARI_MULT,ARI_MD ::= ARI_DIV,-,-,-,-,-,-,-,-,-,-,-
28,OPREL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OPREL ::= OP_IGIG,OPREL ::= OP_MAY,OPREL ::= OP_MEN,OPREL ::= OP_MAI,OPREL ::= OP_MEI,OPREL ::= OP_DIF,-,-,-,-,-
29,OPLOG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OPLOG ::= AND,OPLOG ::= OR,-,-,-
30,LLAMA_AUX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LLAMA_AUX ::= SLEEP,LLAMA_AUX ::= PRINT,LLAMA_AUX ::= LEN
31,SLEEP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SLEEP ::= SLP AGR_OP VALOR AGR_CP,-,-
32,PRINT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PRINT ::= IMPR AGR_OP EXPR AGR_CP,-
33,LEN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LEN ::= LONGITUD AGR_OP VALOR AGR_CP
